item_id;vectors
0;-0.3586601|0.37404734|0.5787578|0.19588082|0.23319095|0.77804065|0.18172622|0.64467233|-0.41718623|-0.15051949|-0.09204826|0.6019782|-0.3119706|-0.20525748|-0.44523057|-0.85681576|-0.16501147|0.59373075|0.3912453|0.25925416|0.47953773|0.65831566|-0.824469|0.7702231|-0.2307598|0.28128314|0.56291103|-0.3448003|-0.5089025|0.4494361|-0.103718385|0.24718799|0.8143351|0.8975054|-0.29730138|0.4158767|0.24901205|-0.22095066|-0.5570828|1.0495261|0.33261085|0.092722654|0.6754658|0.034995876|-0.3677767|0.05138281|0.29325768|-0.00805638|0.23178947|-0.661113|-1.1239934|0.2999588|-1.0383409|-0.020207385|-0.7411653|0.053102776|0.2011526|0.28862095|-0.40403128|0.65644467|0.20159087|-0.18922886|0.32156035|-0.29219273|-0.27028194|0.10922024|1.0413209|0.35097927|0.17163622|0.44492096|0.23804307|0.1402251|0.13353527|-0.08225852|-0.22759299|-0.2616132|-1.1033142|0.065508366|0.042376637|0.240473|0.08775866|-0.3861181|0.41350824|0.10310969|-1.0611925|0.39574233|0.26803553|0.3642083|-0.14102858|-0.14510073|-0.70520157|1.2116054|-0.20810059|-0.21635067|1.0798454|-0.8534701|-0.25275463|-0.6143895|0.017438203|0.2295528
1;-0.1475557|0.51287544|0.3444876|0.5776267|-0.6094128|0.4412104|-0.15222964|-0.042652696|0.40709826|-0.5683003|-0.09545365|0.9341363|-0.054023415|0.7507357|-0.15479667|-0.42455888|0.11807044|0.15632087|0.47440314|0.52837354|-0.75450647|0.68070865|-0.6681191|0.506024|0.54992753|-0.0021645725|0.63089913|0.030052155|0.4625148|0.40255004|-0.85964286|-0.27648473|0.010063946|-0.002159059|0.0891424|0.7441559|-0.31018496|-0.7531826|0.02463746|0.7264135|0.055575583|0.5552156|0.4279421|-0.018141557|-0.50031143|-0.21181661|0.696268|-0.11392078|-0.8263805|-0.6042658|-0.93656623|0.7869338|0.18779875|0.04853433|-0.17457564|0.44920176|-0.26197377|0.086245686|0.6716363|0.6420127|0.06867477|0.40172368|-0.04717286|-0.22670807|0.42308515|0.33120137|0.42055017|0.12642479|0.4816652|0.4532746|-0.3554656|0.20686868|0.61402434|0.3488396|-0.5335798|0.66366315|-0.5031438|0.63934594|0.06772238|0.011078086|0.36290205|-0.038816974|-0.14226846|-0.29263285|-0.77519876|0.19500585|-0.13158002|0.19808125|0.34210747|0.23125343|-0.07247494|0.07836881|0.62280047|-0.52179205|-0.016033664|-0.6551857|-0.009806484|-0.68496656|0.327557|-0.580253
2;-0.20892392|0.76126385|0.94272804|0.26489016|0.27258182|0.8265297|-0.090722345|0.44657063|0.28633976|-0.85198426|0.3657886|0.60770416|-0.8628259|0.90330195|-0.33740526|0.15072334|0.50092363|-0.12514684|0.48645392|0.18926516|-0.33746406|0.42172015|-0.29394257|0.007948369|0.16990793|-0.45469624|0.71767426|-0.23494866|-0.3159695|0.11669541|-0.31895602|-0.25104558|0.049440116|0.49516404|0.3337404|0.5812405|0.048878677|-0.72659343|0.0023638904|0.29170743|0.35680345|-0.21489534|0.6452811|-0.3642248|0.033154562|-0.6011034|0.57854956|0.28538722|-0.19798405|-0.17985567|-0.6452839|0.43463922|0.026701793|-0.47588256|-0.56979394|0.5228154|-0.09747757|-0.47409368|-0.09612711|0.17222497|-0.18690336|0.551949|-0.042783238|-0.29230404|0.5225946|-0.026847482|0.2669716|0.52539897|0.2933637|-0.013968587|-0.15180352|0.08204604|0.47231185|0.49721134|-0.2086806|0.9730837|-0.35564795|0.4205483|-0.30513847|0.27182528|0.49382427|0.11168334|0.6984147|-0.4078323|-0.58324784|0.7547152|-0.17670229|0.21107906|-0.25252107|-0.18382742|-0.43617404|0.4395139|-0.061487615|-0.49253917|0.06159386|-0.37053338|0.5077182|-0.35556173|0.4261275|-1.1070819
3;-0.5324595|0.66771424|0.7338602|0.6499956|0.1368925|0.22041498|-0.3474797|0.26511717|0.7215302|-0.08457866|0.77221143|0.57237834|-0.59467477|0.61241955|-0.06216784|-0.5750478|0.50753635|0.12745656|0.18618287|0.51561904|-0.7770401|0.2295898|-0.49792588|0.37171322|-0.15865251|0.09457424|0.30558342|-0.44786173|0.19913024|0.16459438|-1.0691444|0.00983521|-0.0872103|-0.08629611|-0.24486628|0.49684113|0.30127522|-0.9334774|0.4300977|0.4019263|0.45986158|-0.14351243|0.5902673|-0.30199853|-0.7186009|-0.45810524|0.36499563|0.53042996|-0.62768936|-0.16632682|-0.90525174|0.21347684|-0.47111237|-0.07540029|0.15334612|0.15827143|-0.20854427|-0.044471838|0.25040966|-0.06335586|0.042089283|0.4588793|-0.21960814|0.42861003|0.37687498|0.43596277|0.30770358|0.21419089|-0.0451006|-0.07179251|-0.032379523|-0.009468455|1.0400877|0.34849975|-0.50726837|0.5918374|0.277368|0.86123216|-0.3478782|0.4787855|-0.015889436|0.20470428|-0.038237438|0.5263051|-0.66767514|0.20072502|-0.47316176|0.66745913|0.43004113|0.3328545|0.24387951|0.29042944|0.3029489|-0.5707082|-0.70834243|0.44102874|0.4757387|-0.2574889|0.48943847|-0.42110422
4;-0.36341286|0.10770357|0.48479337|-0.08437386|0.13314676|0.68189096|-0.08285532|0.03638999|0.64674765|-0.79582465|0.1524294|-0.08243269|-0.45299932|0.54142815|-0.41318202|-0.7237512|0.7413091|0.72956955|-0.14896497|-0.10855085|-1.1111709|0.20362093|-0.373214|0.04434584|-0.51804817|0.10819927|0.50816065|0.43140775|0.17327735|0.76286876|-0.37227923|-0.03148734|0.3456779|0.33511248|-0.023839206|0.37130874|0.1711785|-1.0532477|0.29224205|0.013133049|0.67987454|0.030753806|0.80071986|-0.46562225|-0.18013832|-0.35030818|0.41756856|-0.17527708|-0.2676131|-0.656797|-0.55800545|0.07553923|-0.30077314|0.09395255|0.070801556|0.14470232|-0.18211837|-0.25095823|-0.14573357|0.7033862|-0.121152714|0.32210645|0.01005201|-0.3501043|0.5058322|0.05610974|0.46619117|0.1475822|0.37081534|0.36913675|-0.32589447|-0.15902348|0.7719926|0.25395888|-0.30305904|-0.07843503|-0.5103828|0.29610303|-0.5301989|0.011808991|0.13462815|-0.0330548|0.016467586|-0.40217713|-0.49421105|0.27113962|-0.48063833|0.60448384|0.48837247|-0.43831676|0.45590854|-0.04469952|0.22453633|-0.26965988|0.11648831|-0.40792173|0.30198902|0.0870695|0.05695285|-0.52911544
5;-0.37573934|0.5064676|0.6476779|0.8381311|-0.18915953|0.85908294|-0.34793693|0.21584812|1.0928996|-0.67675805|0.8169601|0.1888176|-0.14198467|0.79848754|0.07914536|-0.6684278|0.71992064|0.31265604|0.11974417|0.2710243|-0.4799264|0.20963311|-0.43398845|0.08742815|-0.01845252|-0.3025823|0.48954764|-0.25284067|-0.48136112|-0.47812366|-0.47451323|0.16988277|0.32721388|0.7889416|0.5511419|0.20646815|0.54751456|-0.56904984|0.42013133|-0.51043403|0.12410768|0.108760156|0.5270257|0.03433612|-0.70372623|0.0044054687|0.8381865|0.23967814|0.041482925|-0.1302441|-0.36794242|0.3155051|0.65110356|-0.0018017441|-0.056336254|0.104012534|-0.37799507|0.37141234|-0.022553323|0.6189042|0.14128889|0.10195732|-0.3634677|-0.4155617|0.4747858|0.5243076|0.44420168|0.15610826|0.17487943|0.48014224|-0.22735244|0.5420527|0.56108177|0.63681865|0.029516906|0.510022|-0.1221765|0.26684976|-0.8953457|-0.043251343|0.43931365|-0.25742465|0.28083977|-0.18698578|-0.61716807|-0.08568013|-1.0415566|0.016494364|-0.07934183|0.52160317|0.5868901|0.18743879|-0.16537088|-0.25731033|-0.3124534|-0.5871162|0.34535152|-0.24335855|0.37551796|0.18584317
6;-0.32969722|0.6112424|1.0295823|-0.05890256|-0.15656507|0.19525045|-0.16662565|0.19811326|-0.18496129|-0.7330256|-0.19750175|0.873611|-0.50402224|0.11503881|-1.1630075|-0.25027144|0.89740884|-0.6141523|-0.01651606|0.64853513|-0.5040031|-0.22749454|-0.12252596|-0.64305615|-0.591772|0.005505502|0.9978767|-0.14978907|-0.19542074|-0.47090894|-0.36301908|0.057887793|1.1774633|-0.13754314|0.2791361|-0.33129904|0.18914956|0.12733918|-0.3630676|0.5801536|0.6632076|0.3618399|0.26615015|-0.5843225|0.5564709|-0.8781266|0.810991|0.16730578|-1.1613247|0.26813865|-0.2910103|0.40298727|-0.7425315|0.57903016|-0.5945791|0.19470942|0.6015203|-0.45386177|-0.20171499|0.14777635|0.8822113|1.0012919|0.19206229|-0.12633164|-0.52267087|-0.08654767|0.039459735|0.63647765|0.41871807|0.2659845|-0.775961|-0.24138446|1.0405247|0.2225914|0.1922076|0.64224434|-0.73515505|0.1622406|-0.59788513|0.6142851|0.2905722|0.0156130195|0.9518338|0.19815251|-0.6366836|0.37895334|0.0043082237|0.14859687|0.30894998|0.005261168|-0.36958247|-0.15966085|0.09082273|-0.5310774|-0.13434868|-0.8772285|0.5699774|0.23085909|0.73028183|-0.6299424
7;-0.24723244|-0.006685734|0.24714367|-0.35484868|0.038948875|0.7036426|0.15755364|0.13751975|0.42477143|-1.0488805|0.017525256|0.31873024|-0.70099056|0.51660895|0.56368464|-0.49065807|0.18722194|0.38173717|-0.074279934|-0.18266809|-0.5577194|0.6040008|-0.27461594|-0.017472863|0.32565045|0.040693462|0.26836216|-0.112180844|-0.14808601|0.19278751|0.047939613|0.22994146|0.57755387|-0.082689285|-0.10657489|0.032950014|0.56114256|-0.7091616|0.3233198|0.8419988|0.1324176|-0.1072464|-0.17898461|0.715594|-0.6996649|-0.71972525|1.1949893|-0.3507643|-0.41075876|-0.3014851|-0.59197867|0.57544875|-0.23288341|0.10732736|-0.3878917|0.2929738|-0.37333745|-0.07649353|-0.028951038|0.2321222|0.5221583|0.33027518|0.5728305|-0.88860106|0.10226956|0.74903333|-0.051065236|-0.052839115|0.8340616|-0.17970768|-0.0233012|0.3078132|0.27035698|0.75368965|-0.20110433|0.99595267|-0.7416707|0.69404924|-0.38180295|-0.02619683|0.43079734|-0.12626943|0.15205699|-0.016525|-0.06528744|0.6297639|-0.2806798|0.09984361|0.37010765|0.181233|-0.10192172|0.33399108|0.5267091|-0.3104024|-0.21223474|-0.2713368|0.21810721|-0.09197155|0.5864849|-1.0175877
8;-0.6106123|0.37567204|1.1557246|0.4151466|0.35486197|0.915358|-0.54232025|0.11030622|1.2432905|-1.0161932|0.9716073|0.34473547|-0.016158938|0.6867467|-0.34156075|-0.9852437|0.3259606|-0.34478492|0.09904709|0.35895252|-0.2394571|0.776876|-0.9182874|0.28749508|0.19936995|-0.6723887|0.19408023|-0.45488095|0.33699855|0.5772744|0.18718998|0.1215601|1.1216683|-0.13060251|0.22575086|0.28871983|-0.14175536|-0.18533716|0.46516645|-0.013676375|0.4659012|0.105694264|0.8601151|-0.28168374|-0.8210323|0.1827811|0.2483375|-0.3670536|-0.8893062|-0.6382213|-0.38733372|0.4039626|0.736105|-0.25974032|0.74496794|-0.0246965|-0.042042017|0.5594636|-0.13514744|-0.4211458|-0.2869911|0.41882622|-1.2600763|-0.41688374|0.46772665|0.17093377|0.6153376|0.19937402|0.7557397|0.29685354|0.047415495|-0.105896115|0.14349529|0.97935665|-0.12568888|0.63281393|0.31155705|1.1283085|-0.7909995|0.11226134|0.27788955|-0.1572803|0.11887142|-0.081843965|0.24214447|0.7205149|0.005744338|0.055647135|-0.3232306|0.43337217|0.55740047|0.43780053|0.27715623|-0.10329497|-0.55835843|0.06041056|0.36597162|0.114565745|0.25790456|-0.3673089
9;-0.04844424|0.6542493|0.4241028|-0.092562646|-0.07291563|1.0032486|-0.30042335|-0.022466421|0.50313747|-0.70304704|0.8410945|0.30103698|-0.02171737|1.149831|-0.24778305|-0.25931227|-0.23537695|-0.06347111|0.03989009|0.040272087|-0.15354198|0.25799584|-0.6016046|0.2004844|0.20641749|-0.46508926|0.419175|-0.62746924|-0.60394824|0.045947775|-0.24587706|-0.18899295|0.84109235|0.8508861|0.3797695|0.797244|0.95631105|-0.10439098|0.061361372|0.32609424|-0.2213963|0.50237346|0.116995364|-0.008769989|-0.5957904|0.2581453|0.80645156|0.13254252|-0.27547678|-0.98766506|-0.37417114|0.6355603|0.49208933|-0.22385809|-0.51446223|0.275115|-0.15206711|0.12222028|0.22479436|0.28392178|-0.3270115|0.7191775|-0.3660916|-0.35632506|0.64815956|0.15534376|0.7109858|-0.4246595|0.24616799|0.15928015|-0.5000628|-0.23432888|0.08502495|0.45914134|-0.34288132|-0.09725338|-0.47427806|-0.030950218|-0.4749572|-0.44636786|-0.20771113|-0.18638225|-0.26808733|-0.82373697|-0.16499777|0.44797653|-0.15249793|-0.050970614|0.01858133|0.22891468|0.24870378|0.21000724|0.03048861|-0.32618707|-0.24885368|-0.32045943|0.13356638|0.2672801|0.36880338|-0.83710706
